"codeinsee";"codebcsi";"typedoc";"codeepci";"dateapprobation";"datelancement";"codeetat1";"codedepartement";"coderegion";"anneeenquete";"pluis";"plui";"codecollectivite";"typelastproc";"codeavertissement";"datelastproc";"datedump";"idproc";"idlastproc"
"91534";"3131";"PLU";"COM";"2013-09-02 22:00:00+00:00";"2011-02-27 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91534";"";"";"";"2021-10-06";"128551";""
"91538";"3199";"PLU";"COM";"2018-01-29 23:00:00+00:00";"2015-07-07 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91538";"";"";"";"2021-10-06";"141648";""
"91540";"3199";"PLU";"COM";"2018-10-14 22:00:00+00:00";"2015-06-01 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91540";"";"";"";"2021-10-06";"145328";""
"91544";"3199";"PLU";"COM";"2004-05-02 22:00:00+00:00";"2001-12-02 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91544";"";"";"";"2021-10-06";"55656";""
"91546";"3199";"PLU";"COM";"2018-09-09 22:00:00+00:00";"2014-04-08 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91546";"";"";"";"2021-10-06";"134845";""
"91547";"3199";"PLU";"COM";"2018-07-08 22:00:00+00:00";"2015-11-01 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91547";"";"";"";"2021-10-06";"144375";""
"91549";"3131";"PLU";"COM";"2008-10-05 22:00:00+00:00";"2001-09-10 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91549";"";"";"";"2021-10-06";"59984";""
"91552";"3199";"PLU";"COM";"2016-09-28 22:00:00+00:00";"2013-06-19 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91552";"";"";"";"2021-10-06";"128637";""
"91553";"3131";"PLU";"COM";"2005-06-26 22:00:00+00:00";"1993-11-21 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91553";"";"";"";"2021-10-06";"55662";""
"91560";"3131";"PLU";"COM";"2007-10-21 22:00:00+00:00";"2002-12-18 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91560";"";"";"";"2021-10-06";"55660";""
"91568";"3199";"PLU";"COM";"2020-01-28 23:00:00+00:00";"2015-06-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91568";"";"";"";"2021-10-06";"146377";""
"91570";"3199";"PLU";"COM";"2013-10-06 22:00:00+00:00";"2010-12-19 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91570";"";"";"";"2021-10-06";"63625";""
"91573";"3131";"PLU";"COM";"2006-12-13 23:00:00+00:00";"2002-12-16 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91573";"";"";"";"2021-10-06";"55669";""
"91577";"3199";"PLU";"COM";"2019-07-01 22:00:00+00:00";"2015-06-01 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91577";"";"";"";"2021-10-06";"146387";""
"91578";"3199";"PLU";"COM";"2017-03-24 23:00:00+00:00";"2010-03-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91578";"";"";"";"2021-10-06";"63628";""
"91579";"3131";"PLU";"COM";"2018-01-14 23:00:00+00:00";"2014-06-15 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91579";"";"";"";"2021-10-06";"134817";""
"91581";"3199";"PLU";"COM";"2019-12-16 23:00:00+00:00";"2010-05-26 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91581";"";"";"";"2021-10-06";"63629";""
"91587";"3131";"PLU";"COM";"2012-07-02 22:00:00+00:00";"2008-06-11 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91587";"";"";"";"2021-10-06";"63630";""
"91589";"3432";"PLU";"EPT";"2016-11-21 23:00:00+00:00";"2011-04-18 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91589";"";"";"";"2021-10-06";"90399";""
"91593";"3199";"PLU";"COM";"2018-09-05 22:00:00+00:00";"2015-01-18 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91593";"";"";"";"2021-10-06";"146411";""
"91599";"3131";"PLU";"COM";"2015-06-21 22:00:00+00:00";"2011-04-27 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91599";"";"";"";"2021-10-06";"90401";""
"91600";"3131";"PLU";"COM";"2005-06-16 22:00:00+00:00";"1991-01-18 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91600";"";"";"";"2021-10-06";"57093";""
"91602";"3199";"PLU";"COM";"2019-10-14 22:00:00+00:00";"2010-03-25 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91602";"";"";"";"2021-10-06";"64305";""
"91617";"3199";"PLU";"COM";"2013-02-27 23:00:00+00:00";"2011-06-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91617";"";"";"";"2021-10-06";"91081";""
"91619";"3199";"PLU";"COM";"2017-11-23 23:00:00+00:00";"2014-12-03 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91619";"";"";"";"2021-10-06";"63631";""
"91629";"3199";"PLU";"COM";"2019-02-20 23:00:00+00:00";"2015-06-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91629";"";"";"";"2021-10-06";"146088";""
"91630";"3199";"PLU";"COM";"2018-10-15 22:00:00+00:00";"2015-06-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91630";"";"";"";"2021-10-06";"146413";""
"91631";"3199";"PLU";"COM";"2017-04-17 22:00:00+00:00";"2015-06-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91631";"";"";"";"2021-10-06";"146415";""
"91634";"3199";"PLU";"COM";"2013-11-28 23:00:00+00:00";"2009-03-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91634";"";"";"";"2021-10-06";"64725";""
"91635";"3131";"PLU";"COM";"2019-06-24 22:00:00+00:00";"2017-03-12 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91635";"";"";"";"2021-10-06";"155377";""
"91639";"3199";"PLU";"COM";"2007-09-27 22:00:00+00:00";"2002-09-05 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91639";"";"";"";"2021-10-06";"55666";""
"91645";"3199";"PLU";"COM";"2019-03-17 23:00:00+00:00";"2015-01-25 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91645";"";"";"";"2021-10-06";"146420";""
"91648";"3199";"PLU";"COM";"2017-07-06 22:00:00+00:00";"2006-11-20 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91648";"";"";"";"2021-10-06";"64726";""
"91649";"3199";"PLU";"COM";"2017-01-23 23:00:00+00:00";"2011-03-22 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91649";"";"";"";"2021-10-06";"90725";""
"91657";"3131";"PLU";"COM";"2012-09-24 22:00:00+00:00";"2007-12-19 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91657";"";"";"";"2021-10-06";"64727";""
"91659";"3131";"PLU";"COM";"2013-12-12 23:00:00+00:00";"2010-09-29 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91659";"";"";"";"2021-10-06";"64728";""
"91661";"3199";"PLU";"COM";"2016-06-29 22:00:00+00:00";"2014-11-26 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91661";"";"";"";"2021-10-06";"134821";""
"91662";"3199";"PLU";"COM";"2017-03-20 23:00:00+00:00";"2010-03-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91662";"";"";"";"2021-10-06";"64729";""
"91665";"3131";"PLU";"COM";"2019-04-08 22:00:00+00:00";"2014-11-17 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91665";"";"";"";"2021-10-06";"134822";""
"91666";"3131";"PLU";"COM";"2014-05-25 22:00:00+00:00";"2010-11-07 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91666";"";"";"";"2021-10-06";"64731";""
"91667";"3199";"PLU";"COM";"2012-09-26 22:00:00+00:00";"2010-03-24 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91667";"";"";"";"2021-10-06";"64732";""
"91671";"3199";"PLU";"COM";"2020-02-04 23:00:00+00:00";"2015-10-04 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91671";"";"";"";"2021-10-06";"170197";""
"91679";"3199";"PLU";"COM";"2017-09-27 22:00:00+00:00";"2014-10-08 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91679";"";"";"";"2021-10-06";"134832";""
"91685";"3199";"PLU";"COM";"2018-06-13 22:00:00+00:00";"2015-12-14 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91685";"";"";"";"2021-10-06";"146471";""
"91687";"3432";"PLU";"EPT";"2018-12-17 23:00:00+00:00";"2015-10-14 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91687";"";"";"";"2021-10-06";"146473";""
"91689";"3131";"PLU";"COM";"2005-09-22 22:00:00+00:00";"2001-11-19 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91689";"";"";"";"2021-10-06";"55668";""
"91691";"3131";"PLU";"COM";"2011-06-22 22:00:00+00:00";"2008-04-06 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91691";"";"";"";"2021-10-06";"64733";""
"91692";"3199";"PLU";"COM";"2017-05-17 22:00:00+00:00";"2014-09-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91692";"";"";"";"2021-10-06";"134818";""
