"codeinsee";"codebcsi";"typedoc";"codeepci";"dateapprobation";"datelancement";"codeetat1";"codedepartement";"coderegion";"anneeenquete";"pluis";"plui";"codecollectivite";"typelastproc";"codeavertissement";"datelastproc";"datedump";"idproc";"idlastproc"
"91112";"3199";"PLU";"COM";"2013-12-16 23:00:00+00:00";"2009-05-17 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91112";"";"";"";"2021-10-06";"64297";""
"91114";"3199";"PLU";"COM";"2021-02-10 23:00:00+00:00";"2016-06-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91114";"";"";"";"2021-10-06";"151229";""
"91115";"3199";"PLU";"COM";"2018-01-30 23:00:00+00:00";"2014-09-23 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91115";"";"";"";"2021-10-06";"134805";""
"91121";"3199";"PLU";"COM";"2004-09-05 22:00:00+00:00";"1998-11-29 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91121";"";"";"";"2021-10-06";"59968";""
"91122";"3199";"PLU";"COM";"2018-06-24 22:00:00+00:00";"2016-02-14 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91122";"";"";"";"2021-10-06";"148483";""
"91129";"3199";"PLU";"COM";"2021-05-19 22:00:00+00:00";"2011-09-14 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91129";"";"";"";"2021-10-06";"90340";""
"91130";"3199";"PLU";"COM";"2013-09-22 22:00:00+00:00";"2008-05-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91130";"";"";"";"2021-10-06";"63606";""
"91131";"3199";"PLU";"COM";"2014-03-16 23:00:00+00:00";"2006-09-24 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91131";"";"";"";"2021-10-06";"63607";""
"91132";"3131";"PLU";"COM";"2016-11-08 23:00:00+00:00";"2010-06-21 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91132";"";"";"";"2021-10-06";"144629";""
"91135";"3131";"PLU";"COM";"2010-02-15 23:00:00+00:00";"2006-09-07 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91135";"";"";"";"2021-10-06";"55623";""
"91136";"3199";"PLU";"COM";"2020-02-01 23:00:00+00:00";"2010-09-27 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91136";"";"";"";"2021-10-06";"63609";""
